Food_Name,Category_ID,Raw_Weight_g,Cooking_Method,Fat_Added_tbsp,Raw_Calories,Raw_Fat_g,Target_Final_Weight_g,Target_Final_Calories
"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough",18,100,Roast,2,307,0,104.4,575.9
"Pillsbury, Cinnamon Rolls with Icing, refrigerated dough",18,100,Roast,0,330,0,76.4,291.1
"Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry",18,100,Roast,1,377,0,92.9,491.3
"George Weston Bakeries, Thomas English Muffins",18,100,Roast,0,232,0,79.8,232.2
"Waffles, buttermilk, frozen, ready-to-heat",18,100,Roast,1,273,0,95.2,407.6
"Waffle, buttermilk, frozen, ready-to-heat, toasted",18,100,Roast,1,309,0,94.4,427.4
"Waffle, buttermilk, frozen, ready-to-heat, microwaved",18,100,Microwave,0,289,0,90.5,262
"Waffle, plain, frozen, ready-to-heat, microwave",18,100,Roast,0,298,0,79.6,255.7
"Pie Crust, Cookie-type, Graham Cracker, Ready Crust",18,100,Microwave,0,501,0,94.5,464.6
"Pie Crust, Cookie-type, Chocolate, Ready Crust",18,100,Microwave,0,484,0,93,466.1
"Pie, Dutch Apple, Commercially Prepared",18,100,Roast,2,290,0,111.8,525.5
"Pie crust, deep dish, frozen, unbaked, made with enriched flour",18,100,Microwave,0,468,0,98.4,481.5
"Waffles, chocolate chip, frozen, ready-to-heat",18,100,Roast,1,297,0,93.5,429.2
"Tostada shells, corn",18,100,Microwave,0,474,0,94.6,491.6
"Bread, salvadoran sweet cheese (quesadilla salvadorena)",18,100,Microwave,0,374,0,97.8,358
"Bread, pound cake type, pan de torta salvadoran",18,100,Microwave,0,390,0,98.3,365
"Pastry, Pastelitos de Guava (guava pastries)",18,100,Microwave,0,379,0,94.7,325.1
"Crackers, snack, Goya Crackers",18,100,Roast,0,433,0,82.4,426.4
"Crackers, cream, Gamesa Sabrosas",18,100,Microwave,0,484,0,98.2,406.5
"Crackers, cream, La Moderna Rikis Cream Crackers",18,100,Roast,2,464,0,107.8,698.6
"Bread, white wheat",18,100,Roast,1,238,0,93.4,344.3
"Bagels, wheat",18,100,Roast,0,250,0,83.6,254.5
"Cream puff, eclair, custard or cream filled, iced",18,100,Microwave,0,334,0,92.8,346.7
"Tortillas, ready-to-bake or -fry, flour, shelf stable",18,100,Roast,1,297,0,97.5,453.2
"Snacks, beef jerky, chopped and formed",23,100,Boil,0,410,0,106.5,343.1
"Snacks, corn-based, extruded, chips, plain",23,100,Fry,1,539,0,101.5,646.9
"Snacks, corn-based, extruded, chips, barbecue-flavor",23,100,Boil,0,523,0,106,529.8
"Snacks, corn-based, extruded, cones, plain",23,100,Fry,1,510,0,101,552
"Snacks, fruit leather, pieces",19,100,Roast,0,359,0,77,367
"Snacks, fruit leather, rolls",19,100,Fry,0,371,0,88.5,360.1
"Snacks, granola bars, hard, plain",23,100,Steam,0,471,0,95.6,422.3
"Snacks, granola bars, hard, almond",23,100,Boil,0,495,0,104.3,472
"Snacks, granola bars, soft, uncoated, raisin",23,100,Boil,0,448,0,105.4,450.1
"Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip",23,100,Roast,0,466,0,76.6,494
"Candies, honey-combed, with peanut butter",19,100,Boil,0,473,0,104.8,417.8
"Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter",23,100,Roast,1,508,0,94.3,598.3
"Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip",23,100,Steam,0,432,0,102.3,417.2
"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat",23,100,Steam,0,583,0,95.8,511.5
"Snacks, popcorn, cakes",23,100,Fry,0,384,0,82.2,353.1
"Snacks, popcorn, caramel-coated, with peanuts",23,100,Fry,0,400,0,81.7,383.8
"Snacks, popcorn, caramel-coated, without peanuts",23,100,Steam,0,431,0,101.9,382.7
"Snacks, potato chips, made from dried potatoes, reduced fat",23,100,Fry,2,502,0,116.3,644.2
"Snacks, potato chips, made from dried potatoes, sour-cream and onion-flavor",23,100,Steam,0,547,0,104.5,553.2
"Snacks, pretzels, hard, plain, salted",23,100,Roast,0,384,0,82.1,336.5
"Snacks, pretzels, hard, confectioner's coating, chocolate-flavor",23,100,Roast,2,457,0,111.8,746.3
"Snacks, rice cakes, brown rice, sesame seed",23,100,Boil,0,392,0,101.4,373.2
"Snacks, tortilla chips, plain, white corn, salted",23,100,Steam,0,472,0,97.3,462.4
"Snacks, tortilla chips, nacho cheese",23,100,Boil,0,519,0,108,436.3
"Snacks, tortilla chips, ranch-flavor",23,100,Roast,2,501,0,103.7,775.5
"Snacks, trail mix, regular",23,100,Boil,0,462,0,99.8,387.6
"Candies, ALMOND JOY Candy Bar",19,100,Fry,0,479,0,85.5,482.8
"Candies, TWIZZLERS CHERRY BITES",19,100,Steam,0,338,0,103.2,298.2
"Candies, NESTLE, BIT-O'-HONEY Candy Chews",19,100,Boil,0,388,0,107.1,385.6
"Candies, NESTLE, BUTTERFINGER Bar",19,100,Boil,0,459,0,107.8,468.6
"Candies, caramels, chocolate-flavor roll",19,100,Steam,0,387,0,96.2,377.3
"Baking chocolate, unsweetened, liquid",19,100,Steam,0,472,0,96.7,500.8
"Baking chocolate, unsweetened, squares",19,100,Roast,0,642,0,78.9,631.9
"Candies, confectioner's coating, yogurt",19,100,Steam,0,522,0,102.4,524.9
"Candies, confectioner's coating, peanut butter",19,100,Boil,0,529,0,101.7,504.4
"Candies, white chocolate",19,100,Steam,0,539,0,102.6,457.4
"Ice creams, vanilla, light",19,100,Boil,0,180,0,106.2,167.2
"Ice creams, vanilla, rich",19,100,Boil,0,249,0,103.3,249.7
"Desserts, flan, caramel custard, prepared-from-recipe",19,100,Boil,0,145,0,101.7,144.4
"Ice creams, vanilla",19,100,Boil,0,207,0,103.5,191.5
"Ice creams, vanilla, light, soft-serve",19,100,Roast,1,126,0,95.6,266.3
"Sherbet, orange",19,100,Steam,0,144,0,96.3,138.6
"Candies, fudge, peanut butter, prepared-from-recipe",19,100,Boil,0,387,0,107.3,389.5
"Candies, fudge, vanilla, prepared-from-recipe",19,100,Fry,0,383,0,81.9,381
"Candies, fudge, vanilla with nuts",19,100,Roast,2,435,0,111.8,665
"Candies, NESTLE, GOOBERS Chocolate Covered Peanuts",19,100,Steam,0,512,0,100.2,474.2
"Candies, NESTLE, BABY RUTH Bar",19,100,Boil,0,475,0,103.5,451
"Candies, TWIZZLERS Strawberry Twists Candy",19,100,Fry,0,348,0,82.4,361
"Syrups, table blends, pancake, with butter",19,100,Boil,0,291,0,108.2,298.1
"Ice creams, chocolate, light",19,100,Fry,0,187,0,83.5,198.1
"Candies, NESTLE, CHUNKY Bar",19,100,Steam,0,519,0,99.6,460.9
"Candies, milk chocolate",19,100,Fry,0,535,0,81.3,553.1
"Puddings, banana, dry mix, instant, prepared with 2% milk",19,100,Steam,0,105,0,98.9,98.1
"Puddings, banana, dry mix, regular, prepared with 2% milk",19,100,Fry,1,101,0,94.8,222.5
"Andrea's, Gluten Free Soft Dinner Roll",18,100,Microwave,0,257,0,93,269.6
"Crunchmaster, Multi-Grain Crisps, Snack Crackers, Gluten-Free",18,100,Roast,1,456,0,91.2,499.7
"Glutino, Gluten Free Cookies, Chocolate Vanilla Creme",18,100,Microwave,0,474,0,96.1,477.9
"Glutino, Gluten Free Cookies, Vanilla Creme",18,100,Microwave,0,487,0,91.3,413.6
"Pepperidge Farm, Goldfish, Baked Snack Crackers, Original",18,100,Microwave,0,467,0,94.6,410.9
"Pepperidge Farm, Goldfish, Baked Snack Crackers, Parmesan",18,100,Roast,2,459,0,109.1,750
"Pepperidge Farm, Goldfish, Baked Snack Crackers, Pizza",18,100,Roast,1,469,0,96.8,634.6
"Rudi's, Gluten-Free Bakery, Original Sandwich Bread",18,100,Roast,1,320,0,96.3,460.5
"Udi's, Gluten Free, Soft & Delicious White Sandwich Bread",18,100,Roast,0,298,0,79.9,264.2
